"","day","total","auroc","auprc"
"2",1,0.178947368421053,0.955434782608696,0.493827160493827
"3",2,0.178947368421053,0.958243105209397,0.682079804202516
"4",3,0.2,0.977635645604396,0.759375816230601
"5",4,0.2,0.97512448489011,0.835001578659248
"6",5,0.2,0.98264880952381,0.945493252779054
"7",6,0.189473684210526,0.960495297650066,0.82045448309229
"8",7,0.2,0.9812256301618,0.871730338316928
"9",8,0.178947368421053,0.951921883917715,0.811373862025702
"10",9,0.210526315789474,0.993689903846154,0.927380153390738
"11",10,0.157894736842105,0.967763157894737,0.934487548056139
"12",11,0.2,0.961534759872959,0.918411939067289
"13",12,0.157894736842105,0.957968011052659,0.71518217902093
"14",13,0.178947368421053,0.968028566683275,0.934631155624138
"15",14,0.189473684210526,0.983699503897945,0.899771597578606
"16",15,0.2,0.977557997557998,0.877595406084351
"17",16,0.178947368421053,0.795210291617208,0.571149694593258
"18",17,0.136842105263158,0.739767093277989,0.543083475959003
"19",18,0.178947368421053,0.85236025207142,0.685844967141884
"20",19,0.189473684210526,0.75052035739669,0.586224036501136
"21",20,0.126315789473684,0.692200377747253,0.397853754783574
"22",21,0.178947368421053,0.840166112956811,0.534311710287558
"23",22,0.2,0.79358803986711,0.589948410104176
"24",23,0.157894736842105,0.763956831845849,0.484746310377957
"25",24,0.168421052631579,0.726763432645785,0.594389153722951
"26",25,0.157894736842105,0.848557325326955,0.444691911148674
"27",26,0.157894736842105,0.783812356651376,0.504541015661363
"28",27,0.189473684210526,0.645581067072498,0.421827668426829
"29",28,0.168421052631579,0.829669063421829,0.610167275626147
"30",29,0.189473684210526,0.875953159041394,0.695150337111399
"31",30,0.168421052631579,0.791169383416017,0.569567460438171
